Target,Model,Method,Mean_diff_abs,Var_mean,Std_mean
aa2ar,GAT,attention,0.7884983036667108,0.27999270670115944,0.49343205690383907
aa2ar,GAT,gnnexplainer,0.014486640691757202,0.013068134430795849,0.11420357450842855
aa2ar,GIN,attention,0.339723851904273,0.0448559449985623,0.2017301499843597
aa2ar,GIN,gnnexplainer,0.11584575176239015,0.0105705091264098,0.1016776524484157
abl1,GAT,attention,0.007432329654693426,0.11440449282526965,0.32907765358686447
abl1,GAT,gnnexplainer,0.025377225875854448,0.01356813954189415,0.1162499032914638
abl1,GIN,attention,0.19851207733154297,0.1947337662801146,0.36520987004041666
abl1,GIN,gnnexplainer,0.15614941716194153,0.0074906557332723505,0.0849748939275741
ace,GAT,attention,1.0046999126672744,0.34136781543493266,0.573283651471138
ace,GAT,gnnexplainer,0.01864721775054934,0.013596697989851199,0.1163120217621326
ace,GIN,attention,0.03866600990295399,0.7863000065088273,0.8751929581165314
ace,GIN,gnnexplainer,0.019320809841156028,0.01446229116991155,0.1197031289339065
aces,GAT,attention,0.4178895473480224,0.7838909506797791,0.8063219249248506
aces,GAT,gnnexplainer,0.0880832552909851,0.0120462116785347,0.1090956151485443
aces,GIN,attention,0.6601683676242829,1.3877490306273101,0.8448962241411209
aces,GIN,gnnexplainer,0.024886167049407992,0.013335297536104851,0.1151924706995487
ada,GAT,attention,0.7156023144721988,0.1994845189154148,0.4333207190036773
ada,GAT,gnnexplainer,0.021605610847473145,0.0092633453663438,0.0940578114241361
ada,GIN,attention,0.9981162369251251,0.3577192686498165,0.5708204627037048
ada,GIN,gnnexplainer,0.012540018558502175,0.0142817695625126,0.1192689634859561
ada17,GAT,attention,0.613174832984805,0.4128963783383369,0.5889941394329071
ada17,GAT,gnnexplainer,0.05890460610389714,0.012136958166956851,0.1092771619558334
ada17,GIN,attention,0.7042845115065575,1.0964750681072473,0.7933357611298562
ada17,GIN,gnnexplainer,0.07945214509963988,0.0109874515794217,0.1043491289019584
adrb1,GAT,attention,0.08754169940948475,0.8926728121936321,0.8978008389472961
adrb1,GAT,gnnexplainer,0.002993649244308505,0.01252249116078015,0.1115715600550174
adrb1,GIN,attention,0.05602277517318721,0.5689714308828115,0.6627094939351081
adrb1,GIN,gnnexplainer,0.13766058683395394,0.01006157211959355,0.09922894239425654
adrb2,GAT,attention,0.021204578876495406,0.9567164979875088,0.9296151965856552
adrb2,GAT,gnnexplainer,0.010045683383941573,0.01233833990991115,0.11083208844065665
adrb2,GIN,attention,0.6877529618330299,0.431439647078514,0.6207454666495323
adrb2,GIN,gnnexplainer,0.12172598242759713,0.01037010028958315,0.1005931369960308
akt1,GAT,attention,0.3956649661064149,0.8167308017611503,0.845691129565239
akt1,GAT,gnnexplainer,0.0213389813899994,0.01409738250076765,0.11860834136605256
akt1,GIN,attention,0.754430142045021,0.5746975455433129,0.6129676222801208
akt1,GIN,gnnexplainer,0.03722737431526191,0.01262154588475815,0.11218961179256434
akt2,GAT,attention,0.3045967459678651,0.42604590132832526,0.5908226028084755
akt2,GAT,gnnexplainer,0.028972864151000977,0.012094524689018699,0.1095216922461986
akt2,GIN,attention,1.5669068820774554,1.0657080575823783,0.8417352586984634
akt2,GIN,gnnexplainer,0.06528632640838622,0.011643137875944301,0.1069528348743915
aldr,GAT,attention,0.1577350974082946,0.252701324224472,0.49008415937423705
aldr,GAT,gnnexplainer,0.007956206798553522,0.012533716578036501,0.1112932167947292
aldr,GIN,attention,0.04079588651657107,0.3338283091783524,0.565476229786873
aldr,GIN,gnnexplainer,0.01304880976676942,0.013497247360646648,0.11571216881275175
ampc,GAT,attention,0.1317086458206176,0.19465644806623456,0.43011814355850214
ampc,GAT,gnnexplainer,0.053264510631561235,0.01251926645636555,0.11163782775402065
ampc,GIN,attention,0.4475073430687188,0.17625487819313995,0.41750772297382355
ampc,GIN,gnnexplainer,0.04064908623695379,0.0128649755381047,0.11290236040949815
andr,GAT,attention,0.5210527300834655,0.11519115380942821,0.3242693856358527
andr,GAT,gnnexplainer,0.031355375051498435,0.01254320712760085,0.1118338070809841
andr,GIN,attention,0.03658165931701651,0.045982142165303205,0.20560256764292714
andr,GIN,gnnexplainer,0.10500831007957456,0.01028905003331595,0.09985144510865204
aofb,GAT,attention,0.007798314094543457,0.1794653225690126,0.3962359234690666
aofb,GAT,gnnexplainer,0.009807765483856201,0.0095358759630471,0.0969047918915748
aofb,GIN,attention,0.5845650330185889,0.07461587311699985,0.24954500570893284
aofb,GIN,gnnexplainer,0.09068709015846255,0.01057151574641465,0.09984519556164735
bace1,GAT,attention,0.24976979494094842,0.4003515347838401,0.6134377270936966
bace1,GAT,gnnexplainer,0.058939993381500355,0.01320305420085785,0.1144844837486744
bace1,GIN,attention,0.8358168035745621,0.6562887540087103,0.7199558526277542
bace1,GIN,gnnexplainer,0.11081765294075008,0.01150794290006155,0.1062439009547233
braf,GAT,attention,0.6812341198325157,0.17099082395434373,0.3862762346863747
braf,GAT,gnnexplainer,0.033426076173782404,0.013601383101195,0.11628744602203366
braf,GIN,attention,0.2498936593532563,0.19247612161561845,0.38236132562160485
braf,GIN,gnnexplainer,0.15182004570961,0.0088894269894808,0.091686887294054
cah2,GAT,attention,0.687488007545471,0.5223484821617603,0.6538710087537765
cah2,GAT,gnnexplainer,0.06668643355369569,0.01158561417832965,0.1072733096778392
cah2,GIN,attention,0.3131802260875702,0.3467238996643573,0.46826415285468104
cah2,GIN,gnnexplainer,0.09308992624282841,0.0127033067401498,0.11142161265015599
casp3,GAT,attention,0.3921290844678879,0.38097206465899935,0.5533838704228401
casp3,GAT,gnnexplainer,0.012174040079116877,0.01324507351964705,0.1149733647704124
casp3,GIN,attention,0.4082358330488204,0.624295973777771,0.6511388391256332
casp3,GIN,gnnexplainer,0.10588712692260754,0.0096576799638569,0.09767474606633181
cdk2,GAT,attention,0.1372641503810883,0.1498353954404592,0.3624076128005981
cdk2,GAT,gnnexplainer,0.004151445627212591,0.01494973916560405,0.12206383571028706
cdk2,GIN,attention,0.06403660774230957,0.0685179606080055,0.2516039669513702
cdk2,GIN,gnnexplainer,0.13107627034187325,0.0063042482361197,0.07658842056989665
comt,GAT,attention,0.610959605872631,0.121335138939321,0.3198811694979667
comt,GAT,gnnexplainer,0.04279448986053469,0.01221174704842265,0.1095999337732792
comt,GIN,attention,0.7567018404603004,0.18731499761343,0.4147695422172546
comt,GIN,gnnexplainer,0.07045430541038517,0.011935456376522751,0.1087741762399673
cp2c9,GAT,attention,0.6259351029992103,0.21676375716924667,0.4168195441365242
cp2c9,GAT,gnnexplainer,0.07529610395431519,0.011481505818665,0.1060983926057815
cp2c9,GIN,attention,0.6778456494212151,0.35073386169970033,0.5104963690042496
cp2c9,GIN,gnnexplainer,0.16868355274200447,0.00746946566505355,0.0829520959407091
cp3a4,GAT,attention,0.1469919919967646,0.5307474048808217,0.6329594984650612
cp3a4,GAT,gnnexplainer,0.007703357934951804,0.0128403062932193,0.11317019909620285
cp3a4,GIN,attention,0.18469876646995548,0.40452167224138974,0.5385786071419716
cp3a4,GIN,gnnexplainer,0.11019711494445794,0.0090514795854687,0.09449460059404366
csf1r,GAT,attention,0.03040978908538805,0.1835913516581058,0.4178932160139084
csf1r,GAT,gnnexplainer,0.01315351724624636,0.0130423412658274,0.11403533592820159
csf1r,GIN,attention,0.3993921823333948,0.07097474355250591,0.26195695251226425
csf1r,GIN,gnnexplainer,0.09077179431915294,0.01170065095648165,0.10762382522225375
cxcr4,GAT,attention,0.19397876262664782,0.0938661258667707,0.27706257849931715
cxcr4,GAT,gnnexplainer,0.03846412301063534,0.01261473419144745,0.11171758547425265
cxcr4,GIN,attention,1.0869033813476563,0.9413584764115513,0.7733757533133029
cxcr4,GIN,gnnexplainer,0.1008002281188965,0.01161993718997105,0.10272256303578609
def,GAT,attention,0.3279415406286716,0.21055563255213194,0.3413997806608677
def,GAT,gnnexplainer,0.14882524609565745,0.00727153192274265,0.0838855326175689
def,GIN,attention,0.3314755856990814,0.3071914920117706,0.42676670551300044
def,GIN,gnnexplainer,0.024057167768478382,0.011262799939140599,0.10508224144577974
dhi1,GAT,attention,0.1871127605438232,0.41075711324810976,0.5973005950450897
dhi1,GAT,gnnexplainer,0.013522982597351019,0.0125654502771794,0.1113354995846748
dhi1,GIN,attention,0.11053373217582696,0.15972184184938665,0.3603761002421379
dhi1,GIN,gnnexplainer,0.07631469964981086,0.01125930459238585,0.10529587343335145
dpp4,GAT,attention,0.7293278448283672,0.5298183612525463,0.7014494270086289
dpp4,GAT,gnnexplainer,0.01086398959159851,0.007683108118362701,0.0852372411638498
dpp4,GIN,attention,0.2864802360534668,0.5450456775724889,0.6362099707126618
dpp4,GIN,gnnexplainer,0.1122097730636597,0.01005517244338985,0.09945486560463901
drd3,GAT,attention,0.24831799268722554,0.5421108633279801,0.702544954419136
drd3,GAT,gnnexplainer,0.01143287420272826,0.0137194894254207,0.11704857051372525
drd3,GIN,attention,0.5082954118028282,0.21606511659920216,0.4264771446585655
drd3,GIN,gnnexplainer,0.007928675413131692,0.01394399246200915,0.11786474138498305
dyr,GAT,attention,0.6809408038854597,0.21018286421895024,0.44092942774295807
dyr,GAT,gnnexplainer,0.016115307807922363,0.013052244950085851,0.11412394121289249
dyr,GIN,attention,0.4521045535802841,0.08765044454485175,0.27562615722417827
dyr,GIN,gnnexplainer,0.0997149646282196,0.01049121397081755,0.0986513972282409
egfr,GAT,attention,0.7270147591829299,0.20912387259304518,0.43908444941043856
egfr,GAT,gnnexplainer,0.029125964641571078,0.013103137537837,0.1140625618398189
egfr,GIN,attention,0.29086562246084213,0.10014500617980955,0.30397280454635617
egfr,GIN,gnnexplainer,0.10806077718734741,0.00947751720668745,0.0946943331509828
esr1,GAT,attention,0.04450279474258445,0.4345675814896822,0.5743684634566306
esr1,GAT,gnnexplainer,0.013864928483963035,0.0140044836327433,0.1175657965242862
esr1,GIN,attention,0.960799041390419,0.5458653319627047,0.6925873845815659
esr1,GIN,gnnexplainer,0.002561050653457686,0.013407686445861999,0.1156458914279937
esr2,GAT,attention,0.07928357720375057,0.44236191064119335,0.6020908117294311
esr2,GAT,gnnexplainer,0.014709657430648837,0.012219403032213399,0.1100574642419815
esr2,GIN,attention,0.15247793793678277,0.9267605351284147,0.7370045080780983
esr2,GIN,gnnexplainer,0.03487768769264221,0.01484379312023515,0.12174996510148045
fa10,GAT,attention,0.7117498531937598,0.15351103544235226,0.37518564015626904
fa10,GAT,gnnexplainer,0.02205293178558343,0.0114317162893712,0.10659897252917286
fa10,GIN,attention,0.5490618921816348,0.10931146293878549,0.32258102148771284
fa10,GIN,gnnexplainer,0.04044770002365117,0.0115337174385786,0.10685938298702236
fa7,GAT,attention,0.489136541634798,0.2496398396790027,0.4817218363285065
fa7,GAT,gnnexplainer,0.023591715097427357,0.0127113637514412,0.11230307966470715
fa7,GIN,attention,0.39066823944449414,0.1920099478214979,0.41558399200439455
fa7,GIN,gnnexplainer,0.0452710926532745,0.0115129861980676,0.1067240953445434
fabp4,GAT,attention,0.1616475820541381,0.3391553595662117,0.5710844308137893
fabp4,GAT,gnnexplainer,0.007500660419464178,0.011340281181037401,0.10555239692330355
fabp4,GIN,attention,0.7773200869560244,1.1650705911219121,0.9355906963348388
fabp4,GIN,gnnexplainer,0.06139685511589055,0.01331221004948015,0.11492377817630764
fak1,GAT,attention,0.4274983428418635,0.1015403204597532,0.305558780580759
fak1,GAT,gnnexplainer,0.05150882005691526,0.01183730727061625,0.1082720473408699
fak1,GIN,attention,0.4523824028670787,0.0883062148466706,0.286499348282814
fak1,GIN,gnnexplainer,0.050821721553802435,0.0122261028736829,0.11036494746804235
fgfr1,GAT,attention,0.6715304541867226,0.26855381503701203,0.49889877438545227
fgfr1,GAT,gnnexplainer,0.07116495966911313,0.012052254937589098,0.10949413552880286
fgfr1,GIN,attention,0.6533227443695068,0.3212422490119934,0.5017947375774383
fgfr1,GIN,gnnexplainer,0.11656566262245183,0.01013647024519735,0.09878273308277125
fkb1a,GAT,attention,0.6782662570476532,0.15038738958537573,0.3715529382228851
fkb1a,GAT,gnnexplainer,0.004777133464813232,0.0139960911124944,0.1181869029998779
fkb1a,GIN,attention,0.9490283146500587,0.393025479465723,0.5937503963708878
fkb1a,GIN,gnnexplainer,0.03759667277336126,0.01305838478729125,0.1137009166181087
fnta,GAT,attention,0.8374748647212982,0.3449110485613346,0.5666284739971161
fnta,GAT,gnnexplainer,0.018455535173416138,0.01282701343297955,0.1128413684666156
fnta,GIN,attention,0.032103151082992554,0.08198732528835531,0.27831196784973145
fnta,GIN,gnnexplainer,0.06861074566841135,0.01091460497118525,0.10373116135597225
fpps,GAT,attention,0.6224348992109299,0.0948738448088988,0.25342435166239735
fpps,GAT,gnnexplainer,0.06587388515472414,0.01241608657874165,0.10970928892493245
fpps,GIN,attention,0.5229814648628235,0.19287395826540885,0.3459829352796077
fpps,GIN,gnnexplainer,0.023436498641967785,0.0114179687807336,0.1045458488166332
gcr,GAT,attention,0.7257680813781917,0.2607651866972446,0.43269825726747513
gcr,GAT,gnnexplainer,0.003096163272857666,0.01246857577934855,0.1114385403692722
gcr,GIN,attention,0.23902044892311092,0.26952413395047187,0.44458754062652583
gcr,GIN,gnnexplainer,0.10999658107757576,0.0094913113629445,0.09661815948784344
glcm,GAT,attention,0.47119278907775874,0.41080887988209724,0.5717135772109032
glcm,GAT,gnnexplainer,0.06567266583442694,0.010423336457461099,0.10063760057091706
glcm,GIN,attention,0.5099750936031344,0.43051888458430765,0.568918164074421
glcm,GIN,gnnexplainer,0.13530539870262154,0.00936814318411045,0.09425000026822085
gria2,GAT,attention,0.037042427062988104,0.4559264130890369,0.6221901386976242
gria2,GAT,gnnexplainer,0.02591748237609859,0.01427140869200225,0.11928680539131159
gria2,GIN,attention,0.9805633520707487,0.5260860625654459,0.6596243619918822
gria2,GIN,gnnexplainer,0.0009972393512726052,0.01340882983058685,0.1156655006110668
grik1,GAT,attention,0.6351070404052737,0.638258644938469,0.770759791135788
grik1,GAT,gnnexplainer,0.06885741353034969,0.01036763808224345,0.09911786578595635
grik1,GIN,attention,0.782245123386383,0.24357188306748864,0.46328764706850045
grik1,GIN,gnnexplainer,0.012861025333404608,0.01299365544691675,0.11357547417283054
hdac2,GAT,attention,0.19376032352447514,0.6823378577828407,0.7784226804971695
hdac2,GAT,gnnexplainer,0.03610471487045286,0.012415948510169951,0.11096567213535305
hdac2,GIN,attention,0.03717427253723138,0.3073537394404411,0.5182129248976708
hdac2,GIN,gnnexplainer,0.033937805891036954,0.0138273025862872,0.11696565523743627
hdac8,GAT,attention,0.6390866123139859,0.3163534127175808,0.5276423752307893
hdac8,GAT,gnnexplainer,0.03278148770332334,0.01197709916159505,0.10894446000456805
hdac8,GIN,attention,0.1929885864257812,0.6260890077799559,0.6096323058009147
hdac8,GIN,gnnexplainer,0.04595602750778205,0.0136331831105053,0.11608873084187504
hivint,GAT,attention,0.7767246691510081,0.32901019565761086,0.5171776428818703
hivint,GAT,gnnexplainer,0.059610104560852084,0.01221519606187935,0.1097123391926288
hivint,GIN,attention,0.29091688990592957,0.3224411943927407,0.5015039727091789
hivint,GIN,gnnexplainer,0.028852373361587524,0.01406374392099675,0.1179006546735763
hivpr,GAT,attention,0.25952996015548724,0.3102144598960876,0.5406613498926163
hivpr,GAT,gnnexplainer,0.027503055334091142,0.01325111947953695,0.1149532280862331
hivpr,GIN,attention,0.26360714435577387,0.13710856847465036,0.317908501625061
hivpr,GIN,gnnexplainer,0.06164754629135133,0.00958884800784285,0.09704221785068505
hivrt,GAT,attention,0.16630352735519405,0.36295710057020186,0.5782277971506119
hivrt,GAT,gnnexplainer,0.012734824419021684,0.0125820122659206,0.11188775375485416
hivrt,GIN,attention,0.2670279443264008,0.1087161133065819,0.3147229835391044
hivrt,GIN,gnnexplainer,0.0734462380409241,0.0094740715809166,0.0969670288264751
hmdh,GAT,attention,0.5678998817689717,0.22475852817296976,0.45216559022665026
hmdh,GAT,gnnexplainer,0.0008811533451080766,0.0124301304109394,0.1112541504204273
hmdh,GIN,attention,0.4281126968562602,0.16289553879760205,0.3627822510898113
hmdh,GIN,gnnexplainer,0.03540122509002691,0.012118420144543,0.10948151201009745
hs90a,GAT,attention,0.058937120437622115,0.11032450459897514,0.3196995452046394
hs90a,GAT,gnnexplainer,0.000555443763732899,0.012684419006109199,0.11245416849851606
hs90a,GIN,attention,0.7638886362314223,0.25419130008667706,0.4208709925413132
